month,skill,postings,mentions,pct
2026-06,Azure,2105,32,1.5
2026-06,NLP,2105,19,0.9
2026-06,SQL,2105,49,2.3
2026-06,AWS,2105,35,1.7
2026-06,Data Pipelines,2105,19,0.9
2026-07,Machine Learning,1268,217,17.1
2026-07,Generative AI,1268,63,5.0
2026-07,Python,1268,54,4.3
2026-07,Artificial Intelligence,1268,63,5.0
2026-07,LLMs,1268,51,4.0
2026-07,MLOps,1268,16,1.3
2026-07,Computer Vision,1268,11,0.9
2026-07,Azure,1268,22,1.7
2026-07,NLP,1268,20,1.6
2026-07,SQL,1268,23,1.8
2026-07,AWS,1268,18,1.4
2026-07,Data Pipelines,1268,10,0.8
